key	source	title	category	license	url
digital-foundations-introduction-to-media-design-with-the-adobe-creative-cloud-revised-edition	Open Textbook Library	Digital Foundations: Introduction to Media Design with the Adobe Creative Cloud - Revised Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1178
principles-of-epidemiology	Open Textbook Library	Principles of Epidemiology		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2990
sustainability-innovation-and-entrepreneurship	Open Textbook Library	Sustainability, Innovation, and Entrepreneurship		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/300
writing-the-nation-a-concise-introduction-to-american-literature-1865-to-present	Open Textbook Library	Writing the Nation: A Concise Introduction to American Literature 1865 to Present		CC BY-SA	https://open.umn.edu/opentextbooks/formats/768
beginning-excel	Open Textbook Library	Beginning Excel 2019		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/672
early-childhood-literacy-engaging-and-empowering-emergent-readers-and-writers-birth-age-5	Open Textbook Library	Early Childhood Literacy: Engaging and Empowering Emergent Readers and Writers, Birth – Age 5		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3427
english-composition-connect-collaborate-communicate	Open Textbook Library	English Composition: Connect, Collaborate, Communicate		CC BY	https://open.umn.edu/opentextbooks/formats/1330
fundamentals-of-mathematics	Open Textbook Library	Fundamentals of Mathematics		CC BY	https://open.umn.edu/opentextbooks/formats/516
writing-for-electronic-media	Open Textbook Library	Writing for Electronic Media		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1247
foundations-of-academic-success-words-of-wisdom	Open Textbook Library	Foundations of Academic Success: Words of Wisdom		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/189
business-law-and-the-legal-environment	Open Textbook Library	Business Law and the Legal Environment		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/308
technical-mathematics	Open Textbook Library	Technical Mathematics		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2341
marine-ecology-notes	Open Textbook Library	Marine Ecology Notes - 2nd Edition		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2494
chemical-biology-biochemistry-laboratory-using-genetic-code-expansion-manual-mehl	Open Textbook Library	Chemical Biology & Biochemistry Laboratory Using Genetic Code Expansion Manual		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1498
introduction-to-psychology-1st-canadian-edition	Open Textbook Library	Introduction to Psychology - 1st Canadian Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/552
writing-unleashed	Open Textbook Library	Writing Unleashed: Content and Structure - 3.0		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1366
introduction-to-autonomous-robots	Open Textbook Library	Introduction to Autonomous Robots		CC BY-NC	https://open.umn.edu/opentextbooks/formats/498
introduction-to-petrology	Open Textbook Library	Introduction to Petrology		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2462
a-person-centered-guide-to-demystifying-technology-working-together-to-observe-question-design-prototype-and-implement-reject-technology-in-support-of-people-s-valued-beings-and-doings	Open Textbook Library	A Person-Centered Guide to Demystifying Technology: Working together to observe, question, design, prototype, and implement/reject technology in support of people's valued beings and doings		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1837
macroeconomics-theory-through-applications	Open Textbook Library	Macroeconomics: Theory through Applications		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/282
state-and-local-government-and-politics-prospects-for-sustainability-2st-edition-simon	Open Textbook Library	State and Local Government and Politics: Prospects for Sustainability - 2nd Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1512
trigonometry	Open Textbook Library	Trigonometry		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/736
quality-assurance-regulatory-affairs-for-the-biosciences	Open Textbook Library	Quality Assurance & Regulatory Affairs for the Biosciences		CC BY	https://open.umn.edu/opentextbooks/formats/1794
embedded-controllers-using-c-and-arduino-2e	Open Textbook Library	Embedded Controllers Using C and Arduino - 2e		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/934
salon-de-clase-intermediate-spanish-for-education-professionals	Open Textbook Library	Salón de Clase: Intermediate Spanish for Education Professionals		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2796
a-grammar-of-mauwake	Open Textbook Library	A grammar of Mauwake		CC BY	https://open.umn.edu/opentextbooks/formats/1083
a-christmas-carol	Open Textbook Library	A Christmas Carol		CC BY	https://open.umn.edu/opentextbooks/formats/2458
body-physics-motion-to-metabolism	Open Textbook Library	Body Physics: Motion to Metabolism		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1554
overview-of-healthcare-compliance	Open Textbook Library	Overview of: Healthcare Compliance		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3099
web-literacy-for-student-fact-checkers	Open Textbook Library	Web Literacy for Student Fact-Checkers		CC BY	https://open.umn.edu/opentextbooks/formats/642
languages-and-worldview	Open Textbook Library	Languages and Worldview		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1822
elementary-college-geometry	Open Textbook Library	Elementary College Geometry - 2021 ed.		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/774
law-of-wills	Open Textbook Library	Law of Wills		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/382
libro-libre-beginning-spanish	Open Textbook Library	Libro Libre: Beginning Spanish		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1342
ac-circuits	Open Textbook Library	AC Circuits		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/807
microbiology-a-laboratory-experience	Open Textbook Library	Microbiology: A Laboratory Experience		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2569
vector-calculus	Open Textbook Library	Vector Calculus		Free Documentation License (GNU)	https://open.umn.edu/opentextbooks/formats/54
music-its-language-history-and-culture	Open Textbook Library	Music: Its Language, History, and Culture		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/618
digging-into-canadian-soils-an-introduction-to-soil-science	Open Textbook Library	Digging into Canadian Soils: An Introduction to Soil Science		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2550
an-interactive-introduction-to-organismal-and-molecular-biology	Open Textbook Library	An Interactive Introduction to Organismal and Molecular Biology		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2473
a-student-s-guide-to-tropical-marine-biology	Open Textbook Library	A Student's Guide to Tropical Marine Biology		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1373
organic-chemistry-laboratory-techniques	Open Textbook Library	Organic Chemistry Laboratory Techniques		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/456
an-introduction-to-cooperation-and-mutualism	Open Textbook Library	An Introduction to Cooperation and Mutualism		CC BY-NC	https://open.umn.edu/opentextbooks/formats/803
