key	source	title	category	license	url
microwave-and-rf-design-radio-systems	Open Textbook Library	Microwave and RF Design: Radio Systems		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1286
an-introduction-to-ontology-engineering	Open Textbook Library	An Introduction to Ontology Engineering		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/978
principles-of-macroeconomics-for-ap-courses-2e	Open Textbook Library	Principles of Macroeconomics for AP® Courses 2e		CC BY	https://open.umn.edu/opentextbooks/formats/2075
general-inpatient-management-of-pediatric-diabetes-mellitus-at-university-of-iowa-stead-family-children-s-hospital	Open Textbook Library	General Inpatient Management of Pediatric Diabetes Mellitus at University of Iowa Stead Family Children's Hospital		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3728
writing-spaces-web-writing-style-guide	Open Textbook Library	Writing Spaces Web Writing Style Guide		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/841
high-performance-computing	Open Textbook Library	High Performance Computing		CC BY	https://open.umn.edu/opentextbooks/formats/899
british-literature-ii-romantic-era-to-the-twentieth-century-and-beyond	Open Textbook Library	British Literature II: Romantic Era to the Twentieth Century and Beyond		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1076
advanced-waterworks-mathematics	Open Textbook Library	Advanced Water Mathematics		CC BY	https://open.umn.edu/opentextbooks/formats/1147
living-with-earthquakes-in-the-pacific-northwest	Open Textbook Library	Living with Earthquakes in the Pacific Northwest		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/670
open-technical-writing-an-open-access-text-for-instruction-in-technical-and-professional-writing	Open Textbook Library	Open Technical Writing: An Open-Access Text for Instruction in Technical and Professional Writing		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1316
trademark-law-an-open-source-casebook-version-6-0	Open Textbook Library	Trademark Law: An Open-Source Casebook - 7.0		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1297
how-to-learn-like-a-pro	Open Textbook Library	How to Learn Like A Pro		CC BY	https://open.umn.edu/opentextbooks/formats/1663
information-strategies-for-communicators	Open Textbook Library	Information Strategies for Communicators		CC BY	https://open.umn.edu/opentextbooks/formats/1671
how-to-do-science	Open Textbook Library	How To Do Science - Revised Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2984
introduction-to-programming-using-fortran-95-2003-2008	Open Textbook Library	Introduction to Programming using Fortran 95/2003/2008		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1252
negotiating-climate-change-in-crisis	Open Textbook Library	Negotiating Climate Change in Crisis		CC BY	https://open.umn.edu/opentextbooks/formats/2668
the-asynchronous-cookbook	Open Textbook Library	The Asynchronous Cookbook		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2879
digital-marketing-strategy	Open Textbook Library	Digital Marketing Strategy		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2850
making-sense-of-digital-humanities	Open Textbook Library	Making Sense of Digital Humanities		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3261
introduction-to-financial-analysis	Open Textbook Library	Introduction to Financial Analysis		CC BY	https://open.umn.edu/opentextbooks/formats/3040
american-encounters-art-history-and-cultural-identity	Open Textbook Library	American Encounters: Art, History, and Cultural Identity		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2913
introduction-to-financial-accounting-u-s-gaap-adaptation	Open Textbook Library	Introduction to Financial Accounting: U.S. GAAP Adaptation		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1179
human-behavior-and-the-social-environment-ii-payne	Open Textbook Library	Human Behavior and the Social Environment II		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1522
introduction-to-college-research	Open Textbook Library	Introduction to College Research		CC BY	https://open.umn.edu/opentextbooks/formats/3579
a-possession-forever-a-guide-to-using-commemorative-memorials-and-monuments-in-the-classroom	Open Textbook Library	A Possession Forever: A Guide to Using Commemorative Memorials and Monuments in the Classroom		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2729
patterns-for-beginning-programmers	Open Textbook Library	Patterns for Beginning Programmers		CC BY	https://open.umn.edu/opentextbooks/formats/2903
processes-writing-across-academic-careers	Open Textbook Library	Processes: Writing Across Academic Careers		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3510
fundamentals-of-human-geography	Open Textbook Library	Fundamentals of Human Geography		CC BY	https://open.umn.edu/opentextbooks/formats/3301
fundamentals-of-microwave-and-rf-design	Open Textbook Library	Fundamentals of Microwave and RF Design		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1284
creating-online-learning-experiences	Open Textbook Library	Creating Online Learning Experiences		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1225
the-essence-of-mathematics-through-elementary-problems	Open Textbook Library	The Essence of Mathematics Through Elementary Problems		CC BY	https://open.umn.edu/opentextbooks/formats/1229
writing-and-literature-composition-as-inquiry-learning-thinking-and-communication	Open Textbook Library	Writing and Literature: Composition as Inquiry, Learning, Thinking, and Communication		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1099
the-adventure-of-physics-vol-vi-the-strand-model-a-speculation-on-unification	Open Textbook Library	The Adventure of Physics - Vol. VI: The Strand Model - A Speculation on Unification		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/31
bridges-united-states-academia-for-first-generation-and-international-college-students	Open Textbook Library	Bridges: United States Academia for First-Generation and International College Students		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1941
clue-chemistry-life-the-universe-and-everything	Open Textbook Library	CLUE: Chemistry, Life, the Universe and Everything		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1444
federal-rules-of-evidence	Open Textbook Library	Federal Rules of Evidence		CC BY-SA	https://open.umn.edu/opentextbooks/formats/728
college-success-2020	Open Textbook Library	College Success		CC BY	https://open.umn.edu/opentextbooks/formats/1569
romeo-and-juliet	Open Textbook Library	Romeo and Juliet		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2454
beyond-dichotomy-synergizing-writing-center-and-classroom-pedagogies	Open Textbook Library	Beyond Dichotomy: Synergizing Writing Center and Classroom Pedagogies		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/816
mathematical-reasoning-writing-and-proof-version-2-1	Open Textbook Library	Mathematical Reasoning: Writing and Proof, Version 2.1		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/732
intermediate-microeconomicswith-microsoft-excel-2nd-edition-barreto	Open Textbook Library	Intermediate Microeconomics with Microsoft Excel - 2nd Edition		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1533
a-grammar-of-moloko	Open Textbook Library	A grammar of Moloko		CC BY	https://open.umn.edu/opentextbooks/formats/1145
college-success-concise	Open Textbook Library	College Success Concise		CC BY	https://open.umn.edu/opentextbooks/formats/3548
keys-to-understanding-the-middle-east	Open Textbook Library	Keys to Understanding the Middle East		CC BY-SA	https://open.umn.edu/opentextbooks/formats/920
artificial-intelligence-and-librarianship	Open Textbook Library	Artificial Intelligence and Librarianship		CC BY	https://open.umn.edu/opentextbooks/formats/3725
the-crystal-ball-instruction-manual-volume-one-introduction-to-data-science	Open Textbook Library	The Crystal Ball Instruction Manual - version 1.1 Volume One: Introduction to Data Science		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1805
writing-rhetorically-framing-first-year-writing	Open Textbook Library	Writing Rhetorically: Framing First Year Writing		CC BY	https://open.umn.edu/opentextbooks/formats/3392
safety-health-and-nutrition-in-early-childhood-education	Open Textbook Library	Safety, Health, and Nutrition in Early Childhood Education		CC BY	https://open.umn.edu/opentextbooks/formats/1785
measure-integration-real-analysis	Open Textbook Library	Measure, Integration & Real Analysis		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2360
essentials-of-geographic-information-systems	Open Textbook Library	Essentials of Geographic Information Systems		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/248
introduction-to-mips-assembly-language-programming	Open Textbook Library	Introduction to MIPS Assembly Language Programming		CC BY	https://open.umn.edu/opentextbooks/formats/749
laboratory-exercises-in-microbiology-discovering-the-unseen-world-through-hands-on-investigation	Open Textbook Library	Laboratory Exercises in Microbiology: Discovering the Unseen World Through Hands-On Investigation		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/751
urban-health-a-practical-application-for-clinical-based-learning	Open Textbook Library	Urban Health: A Practical Application for Clinical Based Learning		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3208
deutsch-im-blick	Open Textbook Library	Deutsch im Blick - 2nd Edition		CC BY	https://open.umn.edu/opentextbooks/formats/444
biomedical-engineering-lab-manual-volume-1	Open Textbook Library	Biomedical Engineering Lab Manual Volume 1		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3709
fundamentals-of-electrical-engineering-1	Open Textbook Library	Fundamentals of Electrical Engineering I		CC BY	https://open.umn.edu/opentextbooks/formats/404
precalculus	Open Textbook Library	Precalculus		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/194
introduction-to-probability	Open Textbook Library	Introduction to Probability		Free Documentation License (GNU)	https://open.umn.edu/opentextbooks/formats/6
beyond-race-cultural-influences-on-human-social-life	Open Textbook Library	Beyond Race: Cultural Influences on Human Social Life		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1034
unfolding-the-mystery-of-life-biology-lab-manual-for-non-science-majors	Open Textbook Library	Unfolding the Mystery of Life, Biology Lab Manual for Non-Science Majors		CC BY	https://open.umn.edu/opentextbooks/formats/1253
healthcare-in-the-united-states-navigating-the-basics-of-a-complex-system	Open Textbook Library	Healthcare in the  United States: Navigating the Basics of a Complex System		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3098
introduction-to-psychology-the-full-noba-collection	Open Textbook Library	Introduction to Psychology: The Full Noba Collection		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/115
literature-reviews-for-education-and-nursing-graduate-students	Open Textbook Library	Literature Reviews for Education and Nursing Graduate Students		CC BY	https://open.umn.edu/opentextbooks/formats/987
the-basics-of-general-organic-and-biological-chemistry	Open Textbook Library	The Basics of General, Organic, and Biological Chemistry		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/923
federal-rules-of-criminal-procedure	Open Textbook Library	Federal Rules of Criminal Procedure		CC BY-SA	https://open.umn.edu/opentextbooks/formats/96
principles-of-microeconomics-scarcity-and-social-provisioning	Open Textbook Library	Principles of Microeconomics: Scarcity and Social Provisioning		CC BY	https://open.umn.edu/opentextbooks/formats/1176
world-regional-geography-people-places-and-globalization	Open Textbook Library	World Regional Geography: People, Places and Globalization		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1758
teaching-mathematics-at-secondary-level	Open Textbook Library	Teaching Mathematics at Secondary Level		CC BY	https://open.umn.edu/opentextbooks/formats/1232
microbiology-2017	Open Textbook Library	Microbiology		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/765
aprendizaje-colaborativo-apoyado-por-computador	Open Textbook Library	Aprendizaje Colaborativo Apoyado por Computador		CC BY-SA	https://open.umn.edu/opentextbooks/formats/974
nursing-skills	Open Textbook Library	Nursing Skills		CC BY	https://open.umn.edu/opentextbooks/formats/2503
crop-improvement	Open Textbook Library	Crop Improvement		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3641
computational-physics-a-practical-introduction-to-computational-physics-and-scientific-computing-using-c	Open Textbook Library	COMPUTATIONAL PHYSICS: A Practical Introduction to Computational Physics and Scientific Computing (using C++) - Second Edition		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3339
introduction-to-the-law-of-property-estate-planning-and-insurance	Open Textbook Library	Introduction to the Law of Property, Estate Planning and Insurance		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/316
professional-web-accessibility-auditing-made-easy	Open Textbook Library	Professional Web Accessibility Auditing Made Easy		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1167
threshold-concepts-in-biochemistry	Open Textbook Library	Threshold Concepts in Biochemistry		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3600
international-trade-theory-and-policy	Open Textbook Library	International Trade: Theory and Policy		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/268
the-ideologies-of-lived-space-in-literary-texts-ancient-and-modern	Open Textbook Library	The Ideologies of Lived Space in Literary Texts, Ancient and Modern		CC BY-NC	https://open.umn.edu/opentextbooks/formats/450
the-bright-continent-african-art-history	Open Textbook Library	The Bright Continent: African Art History		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2686
personality-theory-in-a-cultural-context	Open Textbook Library	Personality Theory in a Cultural Context		CC BY	https://open.umn.edu/opentextbooks/formats/881
an-introduction-to-matlab-and-mathcad	Open Textbook Library	An Introduction to Matlab and Mathcad		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1160
becoming-america-an-exploration-of-american-literature-from-precolonial-to-post-revolution	Open Textbook Library	Becoming America: An Exploration of American Literature from Precolonial to Post-Revolution		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1217
managerial-accounting	Open Textbook Library	Managerial Accounting		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/284
new-media-futures-faltesek	Open Textbook Library	New Media Futures		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1549
economics-for-life-real-world-financial-literacy	Open Textbook Library	Economics for Life: Real World Financial Literacy		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3525
antiracist-writing-assessment-ecologies-teaching-and-assessing-writing-for-a-socially-just-future	Open Textbook Library	Antiracist Writing Assessment Ecologies: Teaching and Assessing Writing for a Socially Just Future		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/812
german-101	Open Textbook Library	German 101 - 1		CC BY	https://open.umn.edu/opentextbooks/formats/2898
business-law-i-essentials	Open Textbook Library	Business Law I Essentials		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1357
discover-psychology-2-0-a-brief-introductory-text	Open Textbook Library	Discover Psychology 2.0: A Brief Introductory Text		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/436
elementary-arabic-i	Open Textbook Library	Elementary Arabic I		CC BY	https://open.umn.edu/opentextbooks/formats/3241
knowledge-for-humans	Open Textbook Library	Knowledge For Humans		CC BY-SA	https://open.umn.edu/opentextbooks/formats/3307
microwave-and-rf-design-modules	Open Textbook Library	Microwave and RF Design: Modules		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1292
advanced-public-speaking	Open Textbook Library	Advanced Public Speaking		CC BY	https://open.umn.edu/opentextbooks/formats/2641
large-animal-surgery-supplemental-notes	Open Textbook Library	Large Animal Surgery – Supplemental Notes		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1582
liberty-equality-and-due-process-cases-controversies-and-contexts-in-constitutional-law	Open Textbook Library	Liberty, Equality and Due Process: Cases, Controversies, and Contexts in Constitutional Law		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1001
introduction-to-library-and-information-science	Open Textbook Library	Introduction to Library and Information Science		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3617
the-intelligent-troglodyte-s-guide-to-plato-s-republic	Open Textbook Library	The Intelligent Troglodyte’s Guide to Plato’s Republic		CC BY	https://open.umn.edu/opentextbooks/formats/228
que-viva-la-musica-repaso-de-conversacion-en-espanol	Open Textbook Library	¡Que viva la música!: Repaso de conversación en español		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2466
introduction-to-criminology	Open Textbook Library	Introduction to Criminology		CC BY	https://open.umn.edu/opentextbooks/formats/3328
liberte	Open Textbook Library	Liberté		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/390
inventory-analytics	Open Textbook Library	Inventory Analytics		CC BY	https://open.umn.edu/opentextbooks/formats/2489
slurry-transport-fundamentals-a-historical-overview-the-delft-head-loss-limit-deposit-velocity-framework-2nd-edition	Open Textbook Library	Slurry Transport: Fundamentals, A Historical Overview & The Delft Head Loss & Limit Deposit Velocity Framework - 2nd Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1189
beyond-lean-simulation-in-practice-second-edition	Open Textbook Library	Beyond Lean: Simulation in Practice - Second Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/119
corporate-governance	Open Textbook Library	Corporate Governance		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/240
fizyka-dla-szkol-wyzszych-23e44787-bcbe-42ed-9f42-ddcdee341a49	Open Textbook Library	Fizyka dla szkół wyższych Tom 2		CC BY	https://open.umn.edu/opentextbooks/formats/2887
technical-writing-2016	Open Textbook Library	Technical Writing		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1744
teaching-in-a-digital-age-guidelines-for-designing-teaching-and-learning-for-a-digital-age	Open Textbook Library	Teaching in a Digital Age: Guidelines for designing teaching and learning - 2nd Edition		CC BY-NC	https://open.umn.edu/opentextbooks/formats/419
calculus-based-physics-ii	Open Textbook Library	Calculus-Based Physics II		CC BY-SA	https://open.umn.edu/opentextbooks/formats/756
combinatorics	Open Textbook Library	Combinatorics - Version 2.1		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/748
college-physics	Open Textbook Library	College Physics		CC BY	https://open.umn.edu/opentextbooks/formats/126
open-resources-for-community-college-algebra	Open Textbook Library	Open Resources for Community College Algebra		CC BY	https://open.umn.edu/opentextbooks/formats/1117
an-introduction-to-formal-logic	Open Textbook Library	An Introduction to Formal Logic		CC BY-SA	https://open.umn.edu/opentextbooks/formats/57
climate-lessons-environmental-social-local	Open Textbook Library	Climate Lessons: Environmental, Social, Local		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2522
tutt-a-tavola-volume-2	Open Textbook Library	Tutt* a tavola! Volume 2		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2665
perspectives-an-open-invitation-to-cultural-anthropology	Open Textbook Library	Perspectives: An Open Invitation to Cultural Anthropology		CC BY-NC	https://open.umn.edu/opentextbooks/formats/692
climate-justice-in-your-classroom	Open Textbook Library	Climate Justice in Your Classroom		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3644
the-tragedy-of-the-self	Open Textbook Library	The Tragedy of the Self		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3653
american-environmental-history	Open Textbook Library	American Environmental History		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1115
technology-tools-for-leaders	Open Textbook Library	Technology Tools for Leaders		CC BY	https://open.umn.edu/opentextbooks/formats/3731
foundations-of-american-education-a-critical-lens	Open Textbook Library	Foundations of American Education: A Critical Lens		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2743
the-art-of-polynomial-interpolation	Open Textbook Library	The Art of Polynomial Interpolation		CC BY-NC	https://open.umn.edu/opentextbooks/formats/3105
building-democracy-for-all-interactive-explorations-of-government-and-civic-life	Open Textbook Library	Building Democracy for All: Interactive Explorations of Government and Civic Life		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2544
world-religions-the-spirit-searching	Open Textbook Library	World Religions: the Spirit Searching		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2632
the-unicode-cookbook-for-linguists-managing-writing-systems-using-orthography-profiles	Open Textbook Library	The Unicode cookbook for linguists: Managing writing systems using orthography profiles		CC BY	https://open.umn.edu/opentextbooks/formats/1098
rangeland-ecosystems-of-the-western-us	Open Textbook Library	Rangeland Ecosystems of the Western US - 1st Edition		CC BY	https://open.umn.edu/opentextbooks/formats/3282
basic-urdu	Open Textbook Library	Basic Urdu		CC BY	https://open.umn.edu/opentextbooks/formats/3229
property-volume-2	Open Textbook Library	Property Volume 2		CC BY-SA	https://open.umn.edu/opentextbooks/formats/412
mythology-unbound-an-online-textbook-for-classical-mythology	Open Textbook Library	Mythology Unbound: An Online Textbook for Classical Mythology		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1245
studying-the-bible-the-tanakh-and-early-christian-writings-eiselein	Open Textbook Library	Studying the Bible: The Tanakh and Early Christian Writings		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1499
squeak-by-example	Open Textbook Library	Squeak by Example		CC BY-SA	https://open.umn.edu/opentextbooks/formats/377
palabras-propias	Open Textbook Library	Palabras propias		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2600
it-s-about-them-public-speaking-in-the-21st-century	Open Textbook Library	It’s About Them: Public Speaking in the 21st Century		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/3401
building-information-modeling-using-revit-for-architects-and-engineers	Open Textbook Library	Building Information Modeling using Revit for Architects and Engineers		CC BY	https://open.umn.edu/opentextbooks/formats/3123
university-academic-writing-for-international-students-a-usage-based-approach	Open Textbook Library	University Academic Writing for International Students: A Usage-based Approach		CC BY	https://open.umn.edu/opentextbooks/formats/3685
cell-biology-genetics-and-biochemistry-for-preclinical-students	Open Textbook Library	Cell Biology, Genetics, and Biochemistry for Pre-Clinical Students		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2752
yet-another-calculus-text	Open Textbook Library	Yet Another Calculus Text		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/664
the-story-of-contract-law-formation	Open Textbook Library	The Story of Contract Law: Formation		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1003
entomology-311-lab-manual-1st-edition-scherr	Open Textbook Library	Entomology 311 Lab Manual - 1st Edition		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1506
case-studies-in-systems-chemistry	Open Textbook Library	Case Studies in Systems Chemistry		CC BY	https://open.umn.edu/opentextbooks/formats/3207
organizational-behavior	Open Textbook Library	Organizational Behavior		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/537
urban-literacy-learning-to-read-the-city-around-you-2021	Open Textbook Library	Urban Literacy: Learning to Read the City Around You		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2909
basics-of-fluid-mechanics	Open Textbook Library	Basics of Fluid Mechanics - ver. 0.6.9.a		Free Documentation License (GNU)	https://open.umn.edu/opentextbooks/formats/878
good-corporation-bad-corporation-corporate-social-responsibility-in-the-global-economy	Open Textbook Library	Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/218
mostly-harmless-statistics	Open Textbook Library	Mostly Harmless Statistics		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2656
teaching-early-and-elementary-stem	Open Textbook Library	Teaching Early and Elementary STEM		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2820
applied-probability	Open Textbook Library	Applied Probability		CC BY	https://open.umn.edu/opentextbooks/formats/901
chinese-rhetoric-and-writing-an-introduction-for-language-teachers	Open Textbook Library	Chinese Rhetoric and Writing: An Introduction for Language Teachers		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/842
the-australian-handbook-for-careers-in-psychological-science	Open Textbook Library	The Australian Handbook for Careers in Psychological Science		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2806
geometry-with-an-introduction-to-cosmic-topology	Open Textbook Library	Geometry with an Introduction to Cosmic Topology		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1268
the-word-on-college-reading-and-writing	Open Textbook Library	The Word on College Reading and Writing		CC BY-NC	https://open.umn.edu/opentextbooks/formats/693
sons-lettres-a-pronunciation-method-for-intermediate-level-french	Open Textbook Library	Sons & Lettres: A pronunciation method for intermediate-level French		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1036
documentary-making-for-digital-humanists	Open Textbook Library	Documentary Making for Digital Humanists		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2738
sources-of-american-law-an-introduction-to-legal-research	Open Textbook Library	Sources of American Law: An Introduction to Legal Research - 4th Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/379
evidence-based-software-engineering	Open Textbook Library	Evidence-based Software Engineering		CC BY-SA	https://open.umn.edu/opentextbooks/formats/2773
principles-of-political-economy	Open Textbook Library	Principles of Political Economy - Third Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1465
bio-inspired-sensory-systems	Open Textbook Library	Bio-Inspired Sensory Systems		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2344
fundamentals-of-business	Open Textbook Library	Fundamentals of Business - 4th Edition		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1652
teaching-math-for-emergent-bilinguals-building-on-culture-language-and-identity	Open Textbook Library	Teaching Math for Emergent Bilinguals: Building on Culture, Language, and Identity		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2588
introduction-to-philosophy-logic-2020	Open Textbook Library	Introduction to Philosophy: Logic		CC BY	https://open.umn.edu/opentextbooks/formats/1910
elementary-new-testament-greek	Open Textbook Library	Elementary New Testament Greek		CC BY-NC	https://open.umn.edu/opentextbooks/formats/386
genre-in-a-changing-world	Open Textbook Library	Genre in a Changing World		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/844
copy-write-intellectual-property-in-the-writing-classroom	Open Textbook Library	Copy(write): Intellectual Property in the Writing Classroom		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/818
a-theory-of-literate-action-literate-action-volume-2	Open Textbook Library	A Theory of Literate Action: Literate Action Volume 2		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/808
introduction-to-oceanography	Open Textbook Library	Introduction to Oceanography		CC BY	https://open.umn.edu/opentextbooks/formats/1249
des-bases-physiques-et-chimiques-du-controle-de-la-qualite-des-medicaments	Open Textbook Library	Des Bases Physiques Et Chimiques Du Contrôle De La Qualité Des Médicaments		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1313
human-behavior-and-the-social-environment-i-tyler	Open Textbook Library	Human Behavior and the Social Environment I		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/1545
a-grammar-of-rapa-nui	Open Textbook Library	A grammar of Rapa Nui		CC BY	https://open.umn.edu/opentextbooks/formats/1081
guia-para-realizar-textos-abiertos-con-estudiantes	Open Textbook Library	Guía Para Realizar Textos Abiertos Con Estudiantes		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1129
academic-success	Open Textbook Library	Academic Success		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2349
lies-damned-lies-or-statistics-how-to-tell-the-truth-with-statistics	Open Textbook Library	Lies, Damned Lies, or Statistics: How to Tell the Truth with Statistics		CC BY-SA	https://open.umn.edu/opentextbooks/formats/1153
teaching-in-the-university-learning-from-graduate-students-and-early-career-faculty	Open Textbook Library	Teaching in the University: Learning from Graduate Students and Early Career Faculty		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2834
interpretation-of-metal-fab-drawings	Open Textbook Library	Interpretation of Metal Fab Drawings		CC BY	https://open.umn.edu/opentextbooks/formats/2417
the-science-of-sleep	Open Textbook Library	The Science of Sleep		CC BY	https://open.umn.edu/opentextbooks/formats/3002
a-laboratory-guide-to-clinical-hematology	Open Textbook Library	A Laboratory Guide to Clinical Hematology		CC BY-NC	https://open.umn.edu/opentextbooks/formats/1322
basic-concepts-of-structural-design-for-architecture-students	Open Textbook Library	Basic Concepts of Structural Design for Architecture Students		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2654
yoga-minds-writing-bodies-contemplative-writing-pedagogy	Open Textbook Library	Yoga Minds, Writing Bodies: Contemplative Writing Pedagogy		CC BY-NC-ND	https://open.umn.edu/opentextbooks/formats/376
a-guide-to-technical-communications-strategies-applications	Open Textbook Library	A Guide to Technical Communications: Strategies & Applications		CC BY-NC	https://open.umn.edu/opentextbooks/formats/725
information-systems-for-business-and-beyond	Open Textbook Library	Information Systems for Business and Beyond		CC BY-NC	https://open.umn.edu/opentextbooks/formats/424
basic-engineering-science-a-systems-accounting-and-modeling-approach	Open Textbook Library	Basic Engineering Science - A Systems, Accounting, and Modeling Approach		CC BY-NC-SA	https://open.umn.edu/opentextbooks/formats/2599
music-in-world-cultures	Open Textbook Library	Music in World Cultures		CC BY-NC	https://open.umn.edu/opentextbooks/formats/2604
